iter	RMSE
349	42.12748049
350	42.11730951
351	42.0654385
352	42.02788842
353	41.99811724
354	41.95149524
355	41.90925225
356	41.89425654
357	41.86392297
358	41.80273652
359	41.75681942
360	41.73656137
361	41.70443165
362	41.660132
363	41.61951021
364	41.5823561
365	41.52075735
366	41.51080869
367	41.45866471
368	41.45171377
369	41.41650265
370	41.38271779
371	41.33892556
372	41.2920757
373	41.28756251
374	41.26263455
375	41.21458468
376	41.19960864
377	41.14805508
378	41.1176786
379	41.08521489
380	41.04836782
381	41.01945901
382	40.98878512
383	40.95375687
384	40.92771279
385	40.90446068
386	40.85388883
387	40.82383094
388	40.79592178
389	40.76785359
390	40.72697009
391	40.70853286
392	40.66180337
393	40.65704227
394	40.65388758
395	40.63236729
396	40.60109632
397	40.59554425
398	40.56459818
399	40.55091089
400	40.52134477
401	40.49331256
402	40.46513789
403	40.43323435
404	40.42347852
405	40.39820642
406	40.39404512
407	40.3904363
408	40.38646467
409	40.36746146
410	40.33370625
411	40.28557183
412	40.24980404
413	40.22902283
414	40.22509479
415	40.22177427
416	40.21848592
417	40.18762032
418	40.15824204
419	40.15075592
420	40.11065529
421	40.08065761
422	40.05003406
423	40.02105713
424	39.98604593
425	39.97305093
426	39.93694696
427	39.9075289
428	39.89005052
429	39.84435138
430	39.795005
431	39.7635688
432	39.73692392
433	39.71107728
434	39.70735689
435	39.68535264
436	39.66764729
437	39.63954964
438	39.63703576
439	39.60928462
440	39.60643022
441	39.60362143
442	39.57661168
443	39.55151624
444	39.54748391
445	39.51983134
446	39.48948578
447	39.4749179
448	39.44368975
449	39.41024844
450	39.39602191
451	39.3933151
452	39.3677387
453	39.32802866
454	39.31258345
455	39.28672976
456	39.28474615
457	39.25233134
458	39.22403584
459	39.19696831
460	39.17313442
461	39.14120568
462	39.10064985
463	39.07506653
464	39.06050657
465	39.03652236
466	39.00657853
467	38.97930041
468	38.93957367
469	38.92473317
470	38.91094658
471	38.89651872
472	38.87371502
473	38.84801665
474	38.83025389
475	38.80070087
476	38.7844884
477	38.75599801
478	38.7377458
479	38.73516474
480	38.70955334
481	38.68769613
482	38.67140019
483	38.65033182
484	38.62236997
485	38.59684098
486	38.56701567
487	38.54580622
488	38.53018487
489	38.51922869
490	38.49110375
491	38.44987519
492	38.43119942
493	38.39897139
494	38.37613681
495	38.3420664
496	38.32230896
497	38.30620856
498	38.27723466
499	38.24049837
500	38.21827169
501	38.1955197
502	38.16249912
503	38.12657435
504	38.11109549
505	38.06982914
506	38.03266616
507	38.01492704
508	37.99513359
509	37.96996357
510	37.95599884
511	37.92106524
512	37.89916605
513	37.86887316
514	37.83750897
515	37.81745611
516	37.79983264
517	37.78729276
518	37.76809156
519	37.75495436
520	37.74058974
521	37.70350496
522	37.66337715
523	37.63960444
524	37.61936316
525	37.60682441
526	37.58193405
527	37.55969559
528	37.55136586
529	37.52635758
530	37.50233925
531	37.47092709
532	37.44839906
533	37.41899442
534	37.3977575
535	37.36691424
536	37.33187958
537	37.32030461
538	37.30496785
539	37.29320787
540	37.26470472
541	37.24182021
542	37.20893643
543	37.19273946
544	37.16583198
545	37.14702678
546	37.11668775
547	37.10483652
548	37.09349548
549	37.07857997
550	37.05665058
551	37.03151476
552	37.01121161
553	36.99023103
554	36.97525961
555	36.95722941
556	36.94454919
557	36.92949075
558	36.90397466
559	36.87571742
560	36.85208381
561	36.83375059
562	36.8061009
563	36.77788291
564	36.74840473
565	36.72665205
566	36.71374229
567	36.68692991
568	36.66461601
569	36.6553578
570	36.6266634
571	36.61606378
572	36.60068366
573	36.58174585
574	36.55512484
575	36.54411345
576	36.51885874
577	36.49635312
578	36.46895904
579	36.44326144
580	36.42209323
581	36.39785136
582	36.38822312
583	36.37730182
584	36.35734905
585	36.33181966
586	36.32414664
587	36.31045297
588	36.28494269
589	36.25983444
590	36.24726637
591	36.23154497
592	36.21697739
593	36.20471128
594	36.1883084
595	36.17370773
596	36.16141542
597	36.1487173
598	36.13681189
599	36.1258972
600	36.11052695
601	36.09914879
602	36.08634338
603	36.06500998
604	36.04213235
605	36.03519198
606	36.02069979
607	35.99859571
608	35.97524557
609	35.96477497
610	35.9541067
611	35.9416429
612	35.91492285
613	35.90717456
614	35.88665917
615	35.86958863
616	35.86295781
617	35.85218956
618	35.83067445
619	35.82438691
620	35.81215574
621	35.79230207
622	35.78305782
623	35.77205008
624	35.75416048
625	35.74041679
626	35.7296146
627	35.71822809
628	35.69872595
629	35.68201385
630	35.65920727
631	35.63768094
632	35.62916896
633	35.61612438
634	35.60364127
635	35.59624906
636	35.58404782
637	35.57392363
638	35.56607492
639	35.55950556
640	35.54718588
641	35.53987149
642	35.53259179
643	35.51676539
644	35.50998397
645	35.49693974
646	35.48112722
647	35.46731589
648	35.4496907
649	35.44102695
650	35.42641612
651	35.42061063
652	35.4102766
653	35.39188918
654	35.37135363
655	35.35735036
656	35.34881693
657	35.33064805
658	35.31842141
659	35.31041373
660	35.30045932
661	35.29363452
662	35.27627718
663	35.2544869
664	35.23750397
665	35.22604766
666	35.21456056
667	35.19875082
668	35.1918665
669	35.18917023
670	35.16943201
671	35.14998265
672	35.13667101
673	35.1194924
674	35.11105124
675	35.10452242
676	35.09998336
677	35.09462706
678	35.08942262
679	35.07293984
680	35.06393442
681	35.04283627
682	35.03298523
683	35.02738571
684	35.01786708
685	35.00998006
686	34.99675552
687	34.98594753
688	34.97588676
689	34.96508052
690	34.95457138
691	34.93893482
692	34.92250591
693	34.91249775
694	34.90286071
695	34.88914876
696	34.87335418
697	34.86221638
698	34.85354609
699	34.8449839
